local_cheese_price,loaf_of_fresh_white_bread_price,water_price,onion_price,lettuce_price,oranges_price,cigarettes_20_pack_price,apples_price,rice_price,milk_price,imported_beer_price,tomato_price,bottle_of_wine_price,beef_round_price,eggs_price,banana_price,domestic_beer_price,potato_price,chicken_fillets_price,Safety Index
12.15,3.37,1.95,4.29,2.51,6.34,12.0,4.19,3.23,0.87,6.5,5.51,10.0,13.26,3.79,1.34,4.5,3.49,12.4,67.49
11.71,2.91,2.0,3.64,1.99,7.27,10.0,7.84,6.34,1.22,7.45,4.8,15.0,18.19,3.75,2.79,5.45,3.91,14.88,55.86
11.02,3.09,2.43,1.92,2.16,3.5,9.5,3.88,3.25,1.03,6.5,4.8,14.5,17.63,3.82,1.53,6.0,2.31,8.6,68.1
13.08,2.87,2.14,3.02,1.99,5.49,8.26,5.5,3.92,0.82,6.0,5.11,12.0,15.42,2.88,1.23,4.0,3.66,11.0,59.1
9.79,3.42,1.88,2.43,2.27,5.56,9.0,6.25,3.64,0.9,5.75,4.18,13.0,19.5,3.24,2.1,5.0,2.31,14.23,56.81
17.64,4.82,2.37,3.69,2.92,3.74,11.25,6.02,3.65,1.34,8.5,6.44,15.0,20.19,5.3,2.31,6.0,3.6,11.92,58.25
10.23,2.81,2.13,2.09,1.96,3.56,11.12,4.29,4.83,1.02,9.0,3.32,15.0,16.98,3.72,1.97,7.5,2.27,8.83,43.15
7.99,2.78,1.96,1.71,1.38,4.25,10.97,4.24,4.04,0.9,6.0,1.95,8.0,11.3,3.89,1.26,6.0,1.61,7.99,62.87
10.99,3.4,1.5,1.31,1.88,3.71,9.22,4.66,5.19,0.87,6.2,3.99,12.0,12.4,3.76,1.62,6.0,0.88,10.63,82.38
13.01,4.44,2.3,2.32,2.12,4.16,11.6,5.02,4.72,1.23,9.0,4.9,15.0,17.94,4.96,1.68,8.0,2.96,12.6,79.83
9.55,4.06,1.7,3.67,1.85,4.96,7.52,4.11,3.08,0.96,5.0,3.21,12.5,19.04,3.46,2.24,5.0,2.4,8.6,54.09
10.45,3.85,1.9,1.56,1.83,13.0,9.0,4.89,4.17,1.22,8.0,4.87,15.99,14.32,3.33,1.67,7.0,4.72,9.34,77.09
14.67,3.97,2.25,3.28,3.0,5.5,6.75,6.12,4.58,1.17,7.0,4.41,15.0,19.02,4.53,1.59,6.5,4.4,12.67,
28.33,6.66,2.62,4.49,4.66,5.78,12.0,6.34,8.39,2.05,9.0,7.14,16.0,20.0,7.25,4.0,8.0,4.43,16.47,52.26
12.52,3.03,2.12,2.43,1.89,3.97,10.0,4.5,3.56,0.91,7.0,2.74,13.25,17.59,3.66,1.37,6.0,3.03,12.16,36.66
18.36,4.96,2.38,3.01,2.12,3.86,9.5,6.39,4.7,1.21,8.85,6.6,13.5,15.41,5.0,1.88,8.0,4.39,17.26,66.33
7.39,2.7,1.5,2.2,1.8,4.14,8.75,2.2,4.43,0.53,4.5,3.64,15.0,13.71,2.99,1.55,5.25,2.64,13.19,46.71
11.02,2.2,1.5,,3.0,,,2.76,,1.19,6.0,,10.0,17.64,3.0,1.1,5.0,,,
9.35,2.95,2.31,2.63,1.96,5.96,8.72,4.4,4.96,0.8,8.0,3.18,12.0,14.94,3.08,1.27,6.0,2.3,11.12,39.65
12.45,4.59,2.2,3.01,2.12,3.86,9.63,6.39,4.7,1.18,8.85,5.46,15.0,14.54,4.43,1.88,8.0,3.24,11.9,68.99
13.87,3.82,2.0,3.21,3.01,3.57,7.46,4.44,3.15,1.18,6.0,4.75,12.48,14.35,4.52,1.5,5.0,2.47,10.43,43.62
16.93,3.97,1.72,3.66,2.42,4.79,11.98,5.22,4.06,1.29,9.0,4.12,15.0,17.25,4.43,1.64,6.5,2.84,12.95,60.11
12.56,3.57,1.95,3.85,2.21,5.11,7.14,4.43,5.55,1.15,7.0,6.23,14.0,13.48,3.55,1.61,6.0,2.79,10.09,41.88
10.13,1.6,1.79,2.58,1.61,3.86,6.0,3.25,3.4,0.95,3.75,2.93,10.0,12.33,3.67,0.98,4.25,1.87,10.05,30.0
10.02,3.54,2.19,4.66,2.36,2.63,8.69,6.38,3.91,1.01,6.25,5.78,15.0,15.77,3.39,1.42,5.0,2.22,8.76,57.46
9.89,2.75,1.53,3.15,1.66,5.75,8.0,4.17,4.41,0.8,7.5,5.32,12.99,15.79,3.12,1.86,5.5,2.76,11.01,51.47
12.13,4.2,2.06,3.34,2.12,3.67,7.78,5.57,4.24,1.13,4.0,5.5,11.0,22.63,4.55,1.61,5.5,2.94,15.43,60.83
8.82,1.96,1.9,2.19,1.82,4.28,9.0,4.19,2.85,0.99,6.0,3.12,12.0,13.78,3.62,1.58,4.0,1.87,10.05,63.77
12.57,3.97,2.29,2.32,1.76,3.38,9.0,4.16,4.87,0.96,8.0,3.61,14.25,16.62,3.75,1.54,6.0,2.2,9.67,44.2
9.92,3.24,2.0,2.39,1.69,2.5,6.0,4.2,2.38,1.16,6.5,2.69,15.0,12.89,3.09,1.31,4.0,2.4,10.19,
13.73,2.9,2.12,3.17,1.99,3.4,7.95,4.74,4.65,0.75,8.0,4.34,13.0,17.25,2.57,1.27,4.75,2.98,11.85,49.12
10.8,3.13,1.66,3.15,1.81,4.24,7.14,4.43,5.55,0.87,6.0,4.19,16.0,13.48,3.55,1.5,5.0,2.79,10.09,66.23
9.92,3.44,2.4,2.29,1.89,2.62,8.5,4.78,3.04,1.05,6.0,3.65,15.0,16.16,2.87,1.45,5.0,2.83,11.01,39.94
14.41,3.79,2.25,3.05,2.07,5.19,11.0,4.49,4.13,1.11,8.0,5.94,15.0,15.47,3.58,1.74,7.0,3.11,17.19,41.42
13.01,4.84,2.3,2.66,2.12,4.16,12.0,5.89,5.46,1.22,10.0,5.01,15.0,17.94,6.05,2.46,9.0,3.04,16.22,46.23
15.64,2.7,1.8,2.58,1.8,4.14,8.75,4.92,4.43,0.53,8.0,5.68,15.0,13.71,2.99,1.55,5.5,2.64,13.32,43.32
19.97,3.73,1.6,2.71,2.14,3.17,8.0,4.96,4.14,1.03,7.0,4.38,15.0,18.92,3.49,1.46,6.0,0.98,11.21,49.65
8.8,4.07,2.44,2.84,1.39,2.84,12.0,4.39,4.39,0.97,9.0,3.06,15.0,11.0,4.43,1.52,8.0,2.84,8.8,
6.06,2.65,1.83,3.12,1.92,5.0,8.0,5.12,3.09,0.85,5.0,3.21,12.0,19.04,3.5,1.53,4.0,3.27,8.8,25.65
14.95,4.12,2.23,2.95,2.06,5.18,10.0,4.44,5.58,0.93,7.0,4.93,12.5,16.48,3.82,1.36,6.0,2.59,13.05,66.47
9.92,2.78,1.88,2.69,2.06,3.31,10.97,3.31,2.18,0.88,6.0,2.76,10.75,11.44,4.5,1.59,5.0,3.31,10.94,81.47
10.69,2.76,2.0,3.59,2.3,5.34,8.0,6.32,4.56,1.0,8.0,4.84,14.5,15.43,4.12,1.61,6.0,5.03,10.18,22.06
11.99,4.22,2.14,2.46,1.88,3.93,9.22,4.66,5.19,0.9,7.0,4.7,12.0,15.1,4.38,1.62,6.0,2.98,12.4,55.33
14.67,3.97,2.64,3.28,3.0,3.02,10.8,4.69,4.58,1.17,9.0,4.41,15.0,19.02,4.53,1.7,8.0,2.52,14.2,47.37
10.38,3.46,2.16,2.19,2.37,5.51,10.0,5.76,5.51,0.81,7.0,4.68,15.0,15.08,3.59,1.2,4.5,2.15,12.21,33.24
11.36,3.93,2.27,3.48,2.35,6.5,11.99,5.77,4.94,0.98,7.0,5.44,15.0,17.13,3.91,1.91,6.0,2.75,14.23,43.81
12.13,3.88,1.62,4.12,3.0,5.29,14.0,6.95,6.88,1.06,7.0,6.98,15.0,22.05,5.5,2.9,5.5,3.71,14.7,34.24
7.16,1.57,1.93,2.19,1.9,2.2,7.0,5.22,2.54,0.93,3.75,3.37,10.0,14.47,3.6,1.39,4.25,2.09,8.19,34.75
7.72,2.95,2.31,2.43,1.65,2.99,8.72,4.4,3.31,0.8,8.0,3.18,6.5,11.38,3.08,1.27,6.0,1.26,11.12,83.13
12.26,4.16,2.37,3.79,2.37,6.33,7.75,6.34,5.26,1.1,8.5,5.55,16.0,15.72,3.58,1.81,7.0,3.56,14.66,50.9
15.87,3.98,2.23,3.14,2.1,4.37,8.75,5.56,5.62,1.35,8.0,4.58,17.0,14.84,4.2,1.67,6.0,3.58,12.27,32.69
17.44,4.97,2.48,3.67,3.0,5.44,18.0,7.55,7.52,1.54,12.0,6.01,20.0,19.52,5.89,2.35,8.5,3.51,14.77,49.22
14.03,4.4,1.94,3.49,3.21,4.72,14.25,4.69,5.12,1.33,6.0,5.49,11.0,15.41,5.42,1.44,5.0,2.96,14.77,24.76
9.55,3.58,1.95,3.22,2.03,5.86,7.5,6.85,2.89,0.9,6.0,4.27,15.0,17.97,2.3,1.05,5.0,2.73,10.4,53.74
17.64,4.18,2.5,3.3,1.75,5.39,9.0,5.51,6.55,1.24,8.0,5.83,16.0,22.79,4.31,0.66,8.0,4.18,14.99,40.41
7.17,3.31,1.5,2.74,1.7,5.11,6.08,4.43,3.31,0.94,3.5,5.51,8.5,13.12,3.0,1.6,2.5,2.79,10.09,
20.69,5.01,2.14,3.41,3.0,5.29,11.0,6.95,6.33,1.44,8.0,7.81,15.0,20.19,5.74,2.82,8.0,3.71,14.88,31.38
14.87,3.54,2.75,3.27,2.5,5.68,10.0,5.17,4.48,1.39,5.5,4.95,15.0,29.76,3.25,2.98,5.25,3.86,11.79,
11.53,2.78,1.96,2.69,2.06,4.25,10.97,4.53,4.04,1.11,6.0,4.52,10.75,11.44,4.5,1.59,6.0,4.1,10.94,50.63
11.6,3.17,1.91,2.77,2.02,5.96,9.43,6.26,4.53,0.93,6.0,4.91,15.0,15.6,3.37,2.2,5.0,1.81,10.88,54.28
11.25,3.67,2.36,2.85,2.32,6.31,8.5,6.14,4.9,1.14,7.0,4.23,15.0,16.15,4.43,1.98,6.0,2.7,11.7,50.43
11.02,2.91,1.91,3.15,1.81,4.24,7.14,5.3,5.55,1.0,7.0,6.23,14.0,13.48,3.68,1.27,6.0,3.26,10.09,75.27
13.23,3.31,3.5,1.32,2.0,2.76,8.12,3.31,2.2,0.82,6.5,2.87,10.0,13.23,2.5,3.31,4.5,2.2,11.02,
16.52,4.23,1.89,3.41,3.01,5.11,12.88,6.22,10.13,1.38,7.0,5.44,15.0,20.78,4.31,2.23,6.0,3.56,13.38,33.95
11.99,4.25,2.14,2.46,1.88,3.93,10.79,4.49,4.64,0.9,7.0,4.7,15.0,13.0,4.38,1.44,6.0,2.98,10.97,46.94
15.33,4.04,2.1,3.85,2.76,6.64,11.34,6.71,6.43,1.28,7.5,6.61,17.99,19.97,4.19,1.4,5.0,3.14,16.53,62.26
13.16,3.64,2.12,3.23,1.98,4.43,10.0,5.22,4.6,0.99,7.5,3.99,15.0,17.2,4.1,1.55,6.0,2.75,12.82,76.98
14.59,4.17,1.86,2.35,2.22,4.6,11.0,5.05,4.43,1.07,6.0,4.71,15.99,15.76,4.36,1.98,7.0,2.99,12.8,42.91
13.73,4.06,1.95,3.64,2.18,6.19,7.5,6.85,3.45,0.9,6.0,6.0,15.0,17.97,4.45,1.39,5.75,3.4,10.4,60.62
12.42,4.14,1.9,3.83,2.47,3.34,9.68,6.03,4.38,1.15,6.5,7.2,12.0,22.54,4.63,1.88,5.0,3.77,12.22,53.74
9.16,3.4,2.03,2.73,1.91,3.8,9.0,5.08,3.71,0.89,8.0,4.37,14.0,14.48,4.04,1.17,5.0,2.85,13.31,51.55
10.64,4.02,2.0,3.22,1.42,4.07,11.0,4.13,4.12,1.08,7.0,6.12,9.0,14.51,5.45,1.92,7.0,4.52,9.47,59.76
7.93,2.19,1.43,2.19,1.5,5.51,10.0,5.76,5.51,0.7,6.0,4.68,15.0,15.08,1.69,1.04,4.0,2.15,12.21,30.19
12.48,3.6,2.12,2.79,1.87,4.43,9.0,4.79,3.28,1.07,7.5,3.88,15.0,14.44,3.71,1.55,7.0,2.45,12.56,
16.1,4.34,2.04,4.75,2.59,4.07,11.5,5.41,5.78,1.21,8.0,6.68,17.0,19.35,4.52,2.0,7.5,3.94,16.44,50.79
13.88,2.77,1.85,3.42,2.21,4.45,7.0,6.45,5.16,0.93,6.0,4.47,15.0,15.24,2.58,1.72,5.2,3.94,10.63,30.29
9.37,3.93,2.27,3.48,2.0,5.78,10.5,5.02,3.89,0.98,7.0,5.19,14.0,14.33,3.24,1.18,6.0,2.75,11.68,49.14
10.72,3.01,1.9,2.58,1.82,4.28,9.0,4.19,4.67,0.99,6.0,3.32,12.0,14.77,3.67,1.58,5.5,1.87,10.05,51.94
